21.5347 1.47584	-0.586998 0.448566
14.9905 1.70649	-0.138934 -0.319496
18.6933 5.28826	-0.199895 -0.39531
15.0699 4.4324	0.33084 0.974113
16.5628 5.78041	-1.12632 -0.909713
20.5199 5.43567	0.740803 -0.0352358
19.1843 3.27982	0.168461 -0.723784
21.0602 2.95729	0.205017 -0.401784
15.2947 28.5644	0.07079 0.61847
18.9121 4.2575	0.48874 -0.793665
16.6793 2.13288	-0.242247 -0.459203
16.8188 4.76455	0.336435 0.114213
19.7753 0.261458	0.215317 -0.849609
19.5715 6.82445	-0.0700661 0.716911
16.9944 1.14524	0.517185 0.44664
16.276 6.72801	-0.0105694 -0.318856
20.5128 0.923948	0.206799 -0.408161
22.0761 5.39625	0.886858 0.482779
18.6101 7.04327	0.567194 -0.0432485
19.7519 4.75528	-0.170489 -0.0290212
20.6952 1.97308	-0.287445 -0.710095
18.1386 3.6148	-0.136381 0.106936
17.8872 4.59466	-0.4198 -0.0219234
17.4859 5.49115	0.0880349 -0.269025
18.7627 1.65183	0.373362 -0.612366
14.6995 2.66322	-0.0772083 -0.217499
15.8561 5.07653	-0.347403 -0.578055
17.999 1.01003	0.267323 -0.0137602
15.7171 2.42906	0.265762 -0.144198
19.7807 1.64361	0.692793 -0.0426463
15.3558 3.39204	-0.18291 -0.135182
17.7021 1.94758	-0.118367 -1.11577
15.1235 0.716147	0.0723629 0.330007
16.1459 0.469987	0.23754 -0.266589
18.1672 6.18128	-0.271753 0.108119
20.1312 3.7351	0.347839 0.252941
14.6995 6.53994	-0.961715 0.0434111
15.5635 6.02658	-0.364912 0.318859
15.9627 1.43365	0.120548 -0.290583
20.4677 6.44217	-0.710203 0.319967
20.763 4.47674	0.448618 0.437244
13.4016 3.84946	-0.540106 -0.2905
17.0921 0.129234	-0.117568 -0.623564
17.1625 3.81939	-0.102737 -0.0881927
21.2868 7.08347	0.099739 -0.435802
20.897 12.7731	-0.541024 -0.0218325
17.0855 12.4835	0.196345 -0.769286
19.6099 13.735	-1.05887 -0.266718
15.1346 8.46295	-0.304986 0.251468
17.8019 8.47624	-0.743054 -0.956747
16.4858 13.2469	0.325219 -0.446708
18.2142 10.4708	0.0628568 -0.345998
15.989 12.3566	0.00233716 0.311811
15.8683 10.9594	-0.650168 0.366114
16.8573 8.15221	-0.167337 0.273074
21.858 15.3399	0.493532 0.830768
20.3154 9.49259	-1.28654 0.372595
18.2648 12.5252	-0.666585 0.0711611
18.322 11.453	0.0827199 0.438946
15.3003 9.48825	-0.907614 0.0888161
15.3948 13.1247	0.734884 -0.453973
17.5879 13.3466	0.101655 0.353289
16.9677 14.1639	-0.508603 -0.28005
17.6925 7.49787	0.294834 0.288671
17.2149 10.1549	0.477703 0.668346
22.1894 14.357	-0.480272 -0.347328
17.4179 11.1095	-0.26946 0.466495
20.6208 8.52406	-0.459755 0.154061
20.3602 7.55842	-0.0880943 -0.309022
19.8383 11.0477	-0.384024 -0.161315
16.0733 8.80039	-0.713409 -0.570575
20.5854 13.716	0.360323 -0.186634
18.7324 8.944	0.375937 0.467554
16.6038 11.5894	0.107535 -0.116959
21.1991 14.5234	-0.0225098 0.109795
21.479 8.07743	0.739008 -0.496033
16.9727 9.16234	0.0380174 0.568169
22.3811 8.52554	0.0856942 -0.379784
19.4129 10.1123	-0.567834 -0.283778
20.13 12.1784	-0.128936 -0.380841
19.2602 12.8327	-0.362546 0.638957
19.2107 11.8122	0.175593 0.0632463
14.822 11.1474	-0.728421 0.586214
17.898 9.49654	-0.750104 0.676042
16.1981 9.92725	-0.277708 -0.0400926
19.6309 8.47646	0.254712 0.769654
15.8896 7.75879	-0.506439 0.632136
18.5655 13.5628	-0.0401374 0.186179
19.7376 17.1162	0.0647286 -0.409235
16.3278 17.6098	0.117755 0.422788
13.7763 19.6045	-0.3552 0.261177
16.8811 18.4393	0.126313 0.0912515
19.4639 20.0511	-0.222936 0.712808
19.4302 15.5271	0.117497 0.626405
15.7659 19.4478	-0.164823 0.0389811
18.3739 15.2917	-0.333499 -0.555183
17.7635 18.9906	-0.795438 0.374637
17.719 19.963	0.232215 -0.208034
16.303 20.2521	-0.00175474 0.0415507
17.3297 15.1277	0.0750304 -0.0382269
16.283 14.9243	-0.108551 -0.751767
16.6263 15.8596	0.667043 -0.246286
15.6295 15.7623	-0.137966 -0.790724
20.4 19.6126	0.840382 -0.350436
17.8607 18.0144	-0.636194 0.246989
17.9912 14.3623	0.324059 -0.153175
21.9655 20.8989	0.0367803 0.798759
21.1565 17.9423	0.428219 1.04135
20.236 16.2004	0.779338 -0.222579
21.4146 19.1233	0.050996 -0.00676243
15.2293 20.4245	0.0666733 -0.0960262
15.2581 21.5046	0.175412 0.281446
18.5929 16.3785	-0.716278 -1.33774
15.9376 16.697	-0.181898 -0.260168
21.3298 16.2131	0.572658 -0.25065
19.3623 21.095	0.308795 -0.105603
21.1793 20.2355	-0.0655536 -0.115793
16.6744 21.189	-0.187664 -0.154345
16.9123 16.7877	0.129991 -0.964878
18.5903 20.4895	-0.584489 0.563683
15.8725 14.0056	-0.634924 -0.574677
20.1437 21.7022	0.0277802 -0.186122
21.0382 21.294	0.0788012 -0.383865
15.775 18.4644	0.318782 0.744262
19.5345 19.0598	0.630171 0.218229
17.7267 20.9596	0.00226419 0.107542
19.0408 14.5154	-0.46282 0.597152
20.2549 20.6686	0.571836 -0.247262
22.1184 19.9161	0.44161 0.284627
16.8606 19.4429	-0.269426 0.00871537
18.7963 17.4315	0.136407 -0.0876139
19.5587 18.0857	0.519421 0.152052
20.0984 14.6537	-0.254017 -0.247798
20.4601 18.6273	0.154672 0.30369
20.7821 15.3857	-0.32389 0.495932
15.5585 22.4926	0.498796 -0.900972
18.1028 21.9685	-0.231577 0.352286
20.7448 17.0278	0.231595 -0.15014
17.6333 16.0505	-0.866428 0.273215
18.6316 19.5146	0.669122 0.46455
21.7935 21.8931	0.062 0.421275
15.3041 17.5525	0.0895006 -0.436967
18.6804 18.4983	0.332834 0.283265
17.8601 17.0574	-0.0165857 0.777423
19.5421 27.2158	-0.126303 0.521161
16.0709 25.0548	0.544459 0.0715772
19.6405 24.0785	0.612037 0.474992
19.1514 22.0848	-0.445671 0.474417
17.0625 26.1863	-0.175444 -0.278903
18.1089 24.9808	0.0936978 -0.276392
20.868 22.3941	0.0851866 0.462002
22.2033 25.0854	-0.053012 -0.0438105
19.0958 24.9086	0.240348 -0.140986
